video,events,risk_score,risk_level
C021_A19_SY16_P07_S07_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A19_SY16_P07_S08_01DAS,"일반 이동, 반복 접근, 문 조작 행동",60,MEDIUM
C021_A19_SY16_P07_S08_01DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A19_SY16_P07_S09_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A19_SY16_P07_S09_01DBS,"일반 이동, 반복 접근, 문 조작 행동",60,MEDIUM
C021_A19_SY16_P07_S10_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A19_SY16_P07_S10_01DBS,"일반 이동, 반복 접근, 문 조작 행동",60,MEDIUM
C021_A19_SY16_P07_S12_01NAS,"일반 이동, 반복 접근, 손 반복 행동, 문 조작 행동, 반복 도어락 조작, 수상한 체류",170,HIGH
C021_A19_SY16_P07_S13_01NAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A19_SY16_P07_S14_01DAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A19_SY17_P01_S01_01DAS,"일반 이동, 반복 접근, 손 반복 행동, 수상한 체류",110,HIGH
C021_A19_SY17_P01_S01_01DBS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A19_SY17_P01_S02_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A19_SY17_P01_S04_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A19_SY17_P01_S04_01DBS,"반복 접근, 비정상 상체 방향",50,MEDIUM
C021_A19_SY17_P07_S01_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A19_SY17_P07_S01_01DBS,"일반 이동, 반복 접근, 비정상 상체 방향, 수상한 체류",95,HIGH
C021_A19_SY17_P07_S02_01DAS,"일반 이동, 반복 접근, 비정상 상체 방향",55,MEDIUM
C021_A19_SY17_P07_S02_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A19_SY17_P07_S03_01DAS,"일반 이동, 반복 접근, 비정상 상체 방향, 수상한 체류",95,HIGH
C021_A19_SY17_P07_S03_01DBS,"일반 이동, 비정상 상체 방향, 수상한 체류",65,MEDIUM
C021_A19_SY17_P07_S06_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P01_S01_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S01_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S01_02DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P01_S02_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S02_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S03_02NBS,"일반 이동, 반복 접근, 손 반복 행동",70,MEDIUM
C021_A20_SY15_P01_S04_01DAS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A20_SY15_P01_S04_01DBS,"일반 이동, 반복 접근, 강한 신체 움직임, 문 조작 행동",110,HIGH
C021_A20_SY15_P01_S04_02DAS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A20_SY15_P01_S04_02DBS,"반복 접근, 손 반복 행동, 강한 신체 움직임",115,HIGH
C021_A20_SY15_P01_S05_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P01_S05_02DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P01_S05_02DBS,"반복 접근, 손 반복 행동",65,MEDIUM
C021_A20_SY15_P01_S06_01DBS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A20_SY15_P01_S06_02DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 문 조작 행동, 반복 도어락 조작, 수상한 체류",190,HIGH
C021_A20_SY15_P01_S06_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S07_01DBS,"일반 이동, 반복 접근, 강한 신체 움직임",85,MEDIUM
C021_A20_SY15_P01_S07_02DAS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A20_SY15_P01_S07_02DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P01_S08_01DAS,"일반 이동, 강한 신체 움직임, 문 조작 행동, 수상한 체류",120,HIGH
C021_A20_SY15_P01_S08_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P01_S08_02DBS,일반 이동,5,LOW
C021_A20_SY15_P01_S09_01DAS,"반복 접근, 손 반복 행동, 강한 신체 움직임, 문 조작 행동, 반복 도어락 조작",175,HIGH
C021_A20_SY15_P01_S09_01DBS,"일반 이동, 반복 접근, 강한 신체 움직임",85,MEDIUM
C021_A20_SY15_P01_S09_02DBS,"일반 이동, 반복 접근, 강한 신체 움직임, 수상한 체류",125,HIGH
C021_A20_SY15_P01_S10_01DAS,"일반 이동, 반복 접근, 강한 신체 움직임, 수상한 체류",125,HIGH
C021_A20_SY15_P01_S10_01DBS,"반복 접근, 강한 신체 움직임",80,MEDIUM
C021_A20_SY15_P01_S10_02DAS,"일반 이동, 손 반복 행동, 비정상 상체 방향, 수상한 체류",100,HIGH
C021_A20_SY15_P01_S10_02DBS,"반복 접근, 손 반복 행동, 강한 신체 움직임",115,HIGH
C021_A20_SY15_P01_S11_02DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P01_S11_02DBS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A20_SY15_P01_S12_01NAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P01_S12_02NAS,일반 이동,5,LOW
C021_A20_SY15_P01_S13_02NBS,"반복 접근, 손 반복 행동, 강한 신체 움직임, 비정상 상체 방향",135,HIGH
C021_A20_SY15_P07_S01_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S01_01DBS,반복 접근,30,LOW
C021_A20_SY15_P07_S01_02DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S02_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S02_02DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S02_02DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S03_01DAS,"일반 이동, 반복 접근, 문 조작 행동",60,MEDIUM
C021_A20_SY15_P07_S03_01DBS,"일반 이동, 강한 신체 움직임, 문 조작 행동",80,MEDIUM
C021_A20_SY15_P07_S06_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S06_02DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P07_S06_02DBS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임, 수상한 체류",160,HIGH
C021_A20_SY15_P07_S07_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P07_S07_01DBS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A20_SY15_P07_S07_02DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P07_S07_02DBS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A20_SY15_P07_S08_01DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A20_SY15_P07_S08_02DAS,"일반 이동, 반복 접근, 강한 신체 움직임, 문 조작 행동",110,HIGH
C021_A20_SY15_P07_S08_02DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S09_01DAS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임, 수상한 체류",160,HIGH
C021_A20_SY15_P07_S09_02DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S09_02DBS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A20_SY15_P07_S10_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S10_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S10_02DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S11_01NAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY15_P07_S11_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P07_S12_01NBS,일반 이동,5,LOW
C021_A20_SY15_P07_S12_02NAS,"일반 이동, 손 반복 행동",40,MEDIUM
C021_A20_SY15_P07_S12_02NBS,"일반 이동, 손 반복 행동, 강한 신체 움직임",90,HIGH
C021_A20_SY15_P07_S13_01NBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A20_SY15_P07_S13_02NAS,"일반 이동, 반복 접근, 손 반복 행동, 수상한 체류",110,HIGH
C021_A20_SY15_P07_S13_02NBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY15_P07_S14_01DAS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A20_SY15_P07_S14_02DBS,"반복 접근, 강한 신체 움직임",80,MEDIUM
C021_A20_SY16_P01_S01_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P01_S02_02DBS,반복 접근,30,LOW
C021_A20_SY16_P01_S03_02NAS,손 반복 행동,35,MEDIUM
C021_A20_SY16_P01_S04_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P01_S05_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P01_S05_02DBS,"반복 접근, 문 조작 행동",55,MEDIUM
C021_A20_SY16_P01_S07_02DAS,"반복 접근, 수상한 체류",70,MEDIUM
C021_A20_SY16_P01_S08_02DAS,"반복 접근, 수상한 체류",70,MEDIUM
C021_A20_SY16_P01_S09_02DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A20_SY16_P01_S10_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P01_S10_02DBS,반복 접근,30,LOW
C021_A20_SY16_P01_S11_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P01_S11_02DBS,"일반 이동, 반복 접근, 강한 신체 움직임, 수상한 체류",125,HIGH
C021_A20_SY16_P01_S12_02NBS,"손 반복 행동, 강한 신체 움직임",85,MEDIUM
C021_A20_SY16_P01_S13_02NBS,"문 앞 배회, 손 반복 행동, 강한 신체 움직임, 비정상 상체 방향",145,HIGH
C021_A20_SY16_P07_S01_01DAS,문 앞 배회,40,MEDIUM
C021_A20_SY16_P07_S02_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S03_01DAS,"반복 접근, 문 앞 배회, 수상한 체류",110,HIGH
C021_A20_SY16_P07_S03_01DBS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A20_SY16_P07_S06_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S07_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S07_01DBS,"반복 접근, 수상한 체류",70,MEDIUM
C021_A20_SY16_P07_S08_01DAS,"일반 이동, 반복 접근, 강한 신체 움직임, 문 조작 행동",110,HIGH
C021_A20_SY16_P07_S09_01DAS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임, 수상한 체류",160,HIGH
C021_A20_SY16_P07_S09_01DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A20_SY16_P07_S10_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S10_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S11_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY16_P07_S12_01NAS,문 앞 배회,40,MEDIUM
C021_A20_SY16_P07_S12_01NBS,"반복 접근, 문 앞 배회, 수상한 체류",110,HIGH
C021_A20_SY16_P07_S14_01DAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A20_SY16_P07_S14_01DBS,,0,LOW
C021_A20_SY17_P01_S01_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY17_P01_S02_01DAS,"반복 접근, 강한 신체 움직임",80,MEDIUM
C021_A20_SY17_P07_S01_01DAS,"반복 접근, 문 앞 배회, 수상한 체류",110,HIGH
C021_A20_SY17_P07_S01_01DBS,"반복 접근, 비정상 상체 방향",50,MEDIUM
C021_A20_SY17_P07_S01_02DAS,비정상 상체 방향,20,LOW
C021_A20_SY17_P07_S01_02DBS,"일반 이동, 비정상 상체 방향",25,LOW
C021_A20_SY17_P07_S02_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY17_P07_S03_01DBS,"일반 이동, 비정상 상체 방향, 수상한 체류",65,MEDIUM
C021_A20_SY17_P07_S03_02DAS,"일반 이동, 반복 접근, 비정상 상체 방향, 수상한 체류",95,HIGH
C021_A20_SY17_P07_S03_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY17_P07_S06_01DAS,"일반 이동, 비정상 상체 방향, 수상한 체류",65,MEDIUM
C021_A20_SY17_P07_S06_01DBS,"반복 접근, 비정상 상체 방향",50,MEDIUM
C021_A20_SY17_P07_S06_02DBS,"일반 이동, 비정상 상체 방향, 수상한 체류",65,MEDIUM
C021_A20_SY17_P07_S07_01DAS,"일반 이동, 반복 접근, 강한 신체 움직임, 비정상 상체 방향, 수상한 체류",145,HIGH
C021_A20_SY17_P07_S07_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A20_SY32_P01_S05_02DAS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A20_SY32_P01_S05_02DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A20_SY32_P01_S07_02DBS,"일반 이동, 반복 접근, 강한 신체 움직임",85,MEDIUM
C021_A20_SY32_P01_S08_02DAS,"일반 이동, 강한 신체 움직임, 수상한 체류",95,HIGH
C021_A20_SY32_P01_S08_02DBS,"일반 이동, 반복 접근, 강한 신체 움직임, 수상한 체류",125,HIGH
C021_A21_SY15_P01_S01_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY15_P01_S01_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY15_P01_S02_01DAS,"반복 접근, 손 반복 행동, 강한 신체 움직임",115,HIGH
C021_A21_SY15_P01_S02_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY15_P01_S03_01NBS,"일반 이동, 반복 접근, 손 반복 행동",70,MEDIUM
C021_A21_SY15_P01_S05_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY15_P01_S06_01DAS,"일반 이동, 손 반복 행동, 수상한 체류",80,MEDIUM
C021_A21_SY15_P01_S07_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 수상한 체류",130,HIGH
C021_A21_SY15_P01_S07_01DBS,"일반 이동, 손 반복 행동",40,MEDIUM
C021_A21_SY15_P01_S08_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY15_P01_S09_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY15_P01_S10_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY15_P01_S10_01DBS,"반복 접근, 강한 신체 움직임",80,MEDIUM
C021_A21_SY15_P01_S11_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임",90,HIGH
C021_A21_SY15_P01_S11_01DBS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A21_SY15_P01_S12_01NAS,일반 이동,5,LOW
C021_A21_SY15_P01_S13_01NAS,손 반복 행동,35,MEDIUM
C021_A21_SY15_P01_S13_01NBS,"일반 이동, 반복 접근, 손 반복 행동, 강한 신체 움직임",120,HIGH
C021_A21_SY15_P07_S01_01DBS,반복 접근,30,LOW
C021_A21_SY15_P07_S02_01DAS,"일반 이동, 반복 접근, 강한 신체 움직임",85,MEDIUM
C021_A21_SY15_P07_S02_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY15_P07_S03_01DAS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY15_P07_S06_01DBS,"일반 이동, 반복 접근, 손 반복 행동",70,MEDIUM
C021_A21_SY15_P07_S07_01DAS,"일반 이동, 손 반복 행동, 강한 신체 움직임, 비정상 상체 방향, 수상한 체류",150,HIGH
C021_A21_SY15_P07_S08_01DBS,"일반 이동, 문 조작 행동, 수상한 체류",70,MEDIUM
C021_A21_SY15_P07_S10_01DAS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY15_P07_S10_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY15_P07_S12_01NBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY15_P07_S14_01DAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A21_SY15_P07_S14_01DBS,"일반 이동, 반복 접근",35,MEDIUM
C021_A21_SY16_P07_S01_01DBS,,0,LOW
C021_A21_SY16_P07_S02_01DAS,일반 이동,5,LOW
C021_A21_SY16_P07_S02_01DBS,,0,LOW
C021_A21_SY16_P07_S02_02DBS,"반복 접근, 수상한 체류",70,MEDIUM
C021_A21_SY16_P07_S03_01DAS,,0,LOW
C021_A21_SY16_P07_S03_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S03_02DAS,"반복 접근, 문 앞 배회, 수상한 체류",110,HIGH
C021_A21_SY16_P07_S06_01DAS,일반 이동,5,LOW
C021_A21_SY16_P07_S06_01DBS,,0,LOW
C021_A21_SY16_P07_S07_01DAS,"일반 이동, 강한 신체 움직임",55,MEDIUM
C021_A21_SY16_P07_S07_01DBS,"일반 이동, 손 반복 행동, 강한 신체 움직임",90,HIGH
C021_A21_SY16_P07_S07_02DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S07_02DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S08_01DAS,문 조작 행동,25,LOW
C021_A21_SY16_P07_S08_01DBS,문 앞 배회,40,MEDIUM
C021_A21_SY16_P07_S10_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S10_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S11_01NAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S12_01NBS,일반 이동,5,LOW
C021_A21_SY16_P07_S13_01NAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY16_P07_S14_01DAS,"일반 이동, 반복 접근, 문 조작 행동, 수상한 체류",100,HIGH
C021_A21_SY16_P07_S14_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY17_P01_S01_01DAS,반복 접근,30,LOW
C021_A21_SY17_P01_S01_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY17_P01_S02_01DAS,"반복 접근, 강한 신체 움직임",80,MEDIUM
C021_A21_SY17_P01_S03_01NAS,"반복 접근, 비정상 상체 방향",50,MEDIUM
C021_A21_SY17_P07_S02_01DAS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY17_P07_S02_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY17_P07_S03_01DBS,"일반 이동, 수상한 체류",45,MEDIUM
C021_A21_SY17_P07_S06_01DBS,"일반 이동, 반복 접근, 비정상 상체 방향, 수상한 체류",95,HIGH
C021_A21_SY17_P07_S07_01DBS,"일반 이동, 반복 접근, 수상한 체류",75,MEDIUM
C021_A21_SY32_P01_S05_01DAS,"일반 이동, 비정상 상체 방향, 수상한 체류",65,MEDIUM
C021_A21_SY32_P01_S05_01DBS,"일반 이동, 문 조작 행동, 비정상 상체 방향, 수상한 체류",90,HIGH
C021_A21_SY32_P01_S06_01DAS,"일반 이동, 문 조작 행동, 비정상 상체 방향, 수상한 체류",90,HIGH
